1980,"226,546"
1981,"229,466"
1982,"231,664"
1983,"233,792"
1984,"235,825"
1985,"237,924"
1986,"240,133"
1987,"242,289"
1988,"244,499"
1989,"246,819"
1990,"249,623"
1991,"252,981"
1992,"256,514"
1993,"259,919"
1994,"263,126"
1995,"266,278"
1996,"269,394"
1997,"272,647"
1998,"275,854"
1999,"279,040"
2000,"282,172"
2001,"285,082"
2002,"287,804"
2003,"290,326"
2004,"293,046"
2005,"295,753"
2006,"298,593"
2007,"301,580"
2008,"304,375"
2009,"307,007"
2010,"309,321.67"
2011,"311,556.87"
2012,"313,830.99"
2013,"315,993.72"
2014,"318,301.01"
2015,"320,635.16"
2016,"322,941.31"
2017,"324,985.54"
2018,"326,687.5"
2019,"328,239.52"